ID,FrameRdy,Stamp,Roll,Pitch,Yaw,LinAccX,LinAccY,LinAccZ,AngVelX,AngVelY,AngVelZ,PoseX,PoseY,PoseZ,
3236,0,34.128,0.00205936,-0.00269956,-0.00306495,-0.000740271,0.0610792,-10.0387,-0.160176,0.000427745,-0.00223523,5.07957,5.07931,9.88309,
3237,0,34.137,-0.00242046,-0.00268908,-0.00309997,0.00599297,0.0276468,-10.0526,-0.592577,0.00488217,-0.00826448,5.07865,5.07902,9.88306,
3238,0,34.148,-0.0071433,-0.0026728,-0.00319942,-0.00174171,-0.0547796,-9.28026,-0.282658,0.00205353,-0.00617956,5.07865,5.07902,9.88306,
3239,0,34.158,-0.00646863,-0.00267053,-0.00326709,0.00309078,-0.0660801,-10.2945,0.357529,0.00232585,-0.00601489,5.07899,5.07875,9.88308,
3240,1,34.169,-0.000448255,-0.00266679,-0.00325487,-0.00746985,0.0016799,-9.81259,0.681703,-0.00131829,0.00706467,5.07486,5.07848,9.88309,
3241,0,34.18,0.00484946,-0.00270204,-0.00321649,0.00298876,0.0567967,-9.32833,0.21895,-0.00187442,-0.000391695,5.07486,5.07848,9.88309,
3242,0,34.189,0.0035135,-0.00273462,-0.00323455,0.0031574,0.0636681,-10.5199,-0.418757,-0.000325194,0.00246528,5.07173,5.0782,9.88308,
3243,0,34.2,-0.00205681,-0.00275703,-0.00323095,-0.00283644,-0.0329038,-9.26416,-0.535972,-0.00504637,0.00464476,5.07173,5.0782,9.88308,
3244,0,34.21,-0.00500732,-0.00275439,-0.00320009,0.000796582,-0.0566883,-9.51532,-0.0345595,0.000807098,-0.000864453,5.07273,5.07793,9.88311,
3245,0,34.22,-0.00188704,-0.00273893,-0.00317343,-0.00422606,-0.0387687,-10.3133,0.558312,-0.00284179,0.0119047,5.07273,5.07793,9.88311,
3246,0,34.23,0.00435495,-0.00273234,-0.00308393,0.00687382,0.0310366,-9.22795,0.552008,0.00378021,0.00371189,5.07018,5.07769,9.88309,
3247,0,34.241,0.00696527,-0.00272694,-0.00304984,-9.9502e-05,0.0619475,-9.80567,-0.0145792,0.000258547,0.0033962,5.06582,5.07744,9.88312,
3248,0,34.251,0.00296848,-0.00273097,-0.00304983,0.00278887,0.0278756,-10.2552,-0.563243,-0.00250954,-0.00365617,5.06582,5.07744,9.88312,
3249,1,34.268,-0.00218615,-0.00273747,-0.00307832,0.00128719,-0.038717,-9.31756,-0.366179,0.00105032,-0.00364933,5.06615,5.07721,9.88315,
3250,0,34.279,-0.000270621,-0.00277041,-0.00312405,-0.00537533,-0.0490683,-10.6261,0.544395,-0.00568615,-0.00954599,5.06532,5.07697,9.88318,
3251,0,34.289,0.00604447,-0.00280064,-0.003212,0.00740135,0.0211343,-9.44409,0.577617,-0.00109131,-0.00830854,5.06532,5.07697,9.88318,
3252,0,34.3,0.00895164,-0.00281626,-0.00329718,0.000459032,0.066081,-9.68592,-0.0482426,-0.00156171,-0.00714326,5.06076,5.07674,9.88326,
3253,0,34.311,0.0052351,-0.00283366,-0.00330706,-5.10457e-05,0.0315778,-10.5245,-0.566549,-0.00390383,0.00462393,5.05924,5.07653,9.88329,
3254,0,34.321,-9.84889e-05,-0.00282351,-0.00328659,0.00281511,-0.028607,-9.39639,-0.401411,0.00366374,-0.000834399,5.05924,5.07653,9.88329,
3255,0,34.331,-0.00071861,-0.00280552,-0.00328962,0.000187997,-0.0627469,-9.9365,0.227247,0.000956354,0.000101754,5.06012,5.07634,9.88336,
3256,0,34.341,0.00455971,-0.00277714,-0.00324306,0.00508714,-0.0218489,-10.2205,0.682783,0.00786243,0.00984343,5.06012,5.07634,9.88336,
3257,0,34.352,0.0102152,-0.00276334,-0.00315506,-0.00458879,0.0491181,-9.24846,0.379612,-0.00191775,0.00197976,5.05641,5.07615,9.88341,
3258,0,34.363,0.0105078,-0.00275953,-0.0030969,-0.00181212,0.0613503,-10.1814,-0.257461,-0.00106175,0.00350592,5.05297,5.07597,9.88346,
3259,1,34.373,0.0083084,-0.00275419,-0.00307974,-0.00500831,0.0437476,-10.6882,-0.54231,-0.000718017,0.00339825,5.05297,5.07597,9.88346,
3260,0,34.384,0.000764666,-0.00276386,-0.00311306,-0.00209885,-0.0587129,-9.2651,-0.233988,-0.0014379,-0.0048571,5.05386,5.07581,9.88348,
3261,0,34.396,0.0023992,-0.00278319,-0.00316269,-0.00177194,-0.0596845,-10.6352,0.46344,-1.82742e-05,-0.0093182,5.05276,5.07562,9.88347,
3262,0,34.406,0.00917994,-0.00281647,-0.00325963,0.00564858,0.0171884,-9.47977,0.596858,-0.00368269,-0.00825883,5.05276,5.07562,9.88347,
3263,0,34.417,0.0124142,-0.00282502,-0.00333759,-0.00131487,0.0613033,-9.54062,0.0517469,-0.00118399,-0.0072481,5.04807,5.07544,9.88353,
3264,0,34.427,0.00942345,-0.00283373,-0.00336882,-0.00465878,0.036782,-10.5136,-0.547936,-0.00216211,0.00407085,5.04807,5.07544,9.88353,
3265,0,34.437,0.00354652,-0.00283246,-0.00336089,0.00374671,-0.0220723,-9.32769,-0.50381,0.000937641,-0.00279741,5.04753,5.07527,9.88351,
3266,0,34.448,0.00148339,-0.00280951,-0.00336796,-3.1915e-05,-0.0629932,-9.69817,0.0776762,0.00211765,-0.000296024,5.04817,5.07514,9.88352,
3267,0,34.459,0.00559086,-0.00279191,-0.00331333,0.006148,-0.0403891,-10.3317,0.633341,0.00124725,0.00198826,5.04817,5.07514,9.88352,
3268,0,34.469,0.0116738,-0.00276453,-0.00325425,-0.0039021,0.0396614,-9.26842,0.482644,0.0037632,0.00335606,5.04431,5.07501,9.88355,
3269,1,34.48,0.0133511,-0.00275528,-0.00326234,0.000855889,0.0647782,-9.74906,-0.0713027,0.00219955,-0.00368531,5.04431,5.07501,9.88355,
