Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,
0.804977,-0.208231,-0.040436,1.86295,2.23708,-0.00760936,0.06855,0,0.00348092,-0.0754241,0.00232894,
0.779903,0.150876,-0.0413759,2.1221,2.13547,0.00120447,0.0988621,0,0.00860322,-0.0302331,0.00364128,
0.796161,0.625987,-0.0370098,2.34044,1.90618,0.000636323,0.121352,0,0.000367903,0.00427984,0.0044794,
0.824829,0.969969,-0.0366517,2.59792,1.84184,-0.00745879,0.13799,0,-0.00301445,0.0369656,0.00520735,
0.821175,1.3714,-0.0344943,2.88486,1.7386,-0.00906089,0.148484,0,0.00319448,0.061435,0.00579423,
0.809245,1.76728,-0.03482,3.12862,1.60178,-0.0017271,0.154751,0,0.00661461,0.0840219,0.00634523,
0.826145,2.23563,-0.0313945,3.36295,1.41641,0.00179522,0.157136,0,-0.000327586,0.100235,0.00679628,
0.852482,2.57103,-0.0288586,3.55372,1.32002,-0.00892221,0.157366,0,-0.00445623,0.116539,0.00703384,
0.836402,2.91891,-0.025678,3.80196,1.23408,-0.00934869,0.155537,0,-0.00253813,0.130044,0.00719658,
0.819457,3.25887,-0.0252352,3.97101,1.10483,-0.00272768,0.152538,0,0.0050946,0.142129,0.00754399,
0.827841,3.58697,-0.0207422,4.15836,1.02303,0.00092541,0.14803,0,0.0016859,0.152663,0.00755744,
0.850691,3.91738,-0.0198589,4.32803,0.962543,-0.0087821,0.140753,0,-0.00630279,0.160676,0.00758023,
0.815599,4.22059,-0.0208151,4.48057,0.875888,-0.00804016,0.128945,0,-0.00250837,0.164387,0.00776016,
0.75165,4.5003,-0.0185622,4.6155,0.778779,0.00744041,0.113059,0,0.00421807,0.164152,0.00770742,
0.750526,4.78748,-0.0150083,4.73392,0.767406,0.00704504,0.0925021,0,-0.00285606,0.159875,0.00778757,
0.781449,5.02904,-0.0150893,4.83262,0.820399,-0.003427,0.0695468,0,-0.00629852,0.152559,0.00756895,
0.770367,5.30363,-0.0167777,4.91828,0.87641,-0.0047349,0.0437517,0,-0.00345236,0.143153,0.00714547,
0.750888,5.53683,-0.0154939,4.98827,0.942473,0.00335721,0.0172493,0,0.00394827,0.132591,0.00686688,
0.760533,5.68458,-0.0128246,5.04509,1.00351,0.00633297,-0.000862433,0,0.00233898,0.120449,0.006595,
0.792364,5.72378,-0.0133801,5.08915,1.02566,-0.00315437,-0.0024077,0,-0.00525519,0.108399,0.00577771,
0.789534,5.69609,-0.0161051,5.12212,0.989188,-0.00730382,-0.00283464,0,-0.00481597,0.0956163,0.00536775,
0.763766,5.63031,-0.0164271,5.14588,0.918352,0.00116396,-0.00297495,0,0.00334343,0.083025,0.0046535,
0.767939,5.53322,-0.0144528,5.16094,0.866445,0.00415819,-0.00267719,0,-0.0025616,0.071943,0.00416173,
0.810816,5.43953,-0.0143461,5.16909,0.868349,-0.00786385,-0.00222641,0,-0.00604084,0.0605895,0.00357632,
0.778928,5.34667,-0.0170529,5.17128,0.815075,-0.00525186,-0.00161484,0,0.00013745,0.0497238,0.00286957,
0.738879,5.25301,-0.0191684,5.16879,0.762711,0.00247712,-0.00164183,0,0.00421127,0.0391021,0.00191201,
0.725469,5.15573,-0.0182217,5.16258,0.743723,0.00870525,-0.00185805,0,0.00330579,0.0300959,0.00133406,
0.788801,5.05861,-0.017032,5.15399,0.811458,-0.00670143,-0.000892416,0,-0.00547611,0.0225321,0.000833649,
0.781057,4.96938,-0.0197581,5.14338,0.819501,-0.0072736,0.000191802,0,-0.000928821,0.0152856,7.3203e-05,
0.725195,4.89773,-0.0219515,5.13157,0.782885,0.00434082,-0.000393853,0,0.00563355,0.00933742,-0.000330604,
0.727981,4.83557,-0.0204304,5.11906,0.800304,0.00804301,-0.000896815,0,0.00409282,0.00395279,-0.000845976,
0.759968,4.77418,-0.0195289,5.10659,0.847415,0.000408248,-0.000698952,0,-0.00310388,-0.000138812,-0.00159123,
0.782562,4.71316,-0.0213233,5.09352,0.88933,-0.0095755,8.20907e-05,0,-0.00308943,-0.00351383,-0.002081,
0.740475,4.66677,-0.0244801,5.08186,0.870319,-0.00132295,-0.00032669,0,0.00186088,-0.00618009,-0.00248623,
0.706859,4.62429,-0.0237854,5.07112,0.856447,0.00916975,6.99536e-05,0,0.00499151,-0.00826706,-0.00292031,
0.745312,4.59092,-0.0224996,5.06106,0.900317,0.000415332,8.39239e-06,0,-0.00221111,-0.00969847,-0.00325914,
0.78434,4.55944,-0.0251264,5.05234,0.947728,-0.0101754,0.000994403,0,-0.00334518,-0.0105764,-0.00380052,
0.767868,4.54381,-0.0274287,5.0445,0.939778,-0.00499281,0.000208077,0,-0.000130437,-0.0108899,-0.00429007,
0.739765,4.53689,-0.0271518,5.03789,0.916061,0.00589635,3.54605e-05,0,0.00559277,-0.0107997,-0.00460079,
0.734661,4.53324,-0.0258238,5.03248,0.909713,0.00700075,-0.000221549,0,0.00151353,-0.0105375,-0.00502776,
0.789004,4.53129,-0.0274529,5.0281,0.95573,-0.011155,-0.000546321,0,-0.00400338,-0.01018,-0.0052225,
0.760349,4.53255,-0.0307892,5.02486,0.931808,-0.00622486,-0.00099911,0,7.4747e-05,-0.00940083,-0.00568659,
0.712699,4.53211,-0.030886,5.02262,0.890794,0.00774346,-0.000146524,0,0.00607569,-0.00851014,-0.00609805,
0.758973,4.53134,-0.0287685,5.02128,0.927674,-0.000412835,0.000208318,0,-0.00337395,-0.00770399,-0.00627612,
0.781328,4.53128,-0.0310587,5.02063,0.948388,-0.00834069,0.00115124,0,-0.00453559,-0.00674306,-0.00650862,
0.738046,4.54417,-0.0339856,5.02064,0.907223,-0.00341327,-0.000512042,0,0.00198068,-0.00571169,-0.0068964,
0.689379,4.55017,-0.0332126,5.02129,0.862606,0.00932059,0.00027616,0,0.0053095,-0.00472513,-0.00727103,
0.737582,4.55619,-0.0315144,5.02239,0.89936,0.000403445,-0.000124771,0,-0.00210587,-0.00375137,-0.0073406,
0.761537,4.5607,-0.0329102,5.02378,0.919562,-0.00710418,0.000162959,0,-0.00492726,-0.00292458,-0.00760046,
0.720077,4.56759,-0.0356935,5.02552,0.883679,-0.00241901,-0.000347265,0,0.00318125,-0.0020178,-0.00784126,
0.690428,4.5733,-0.0354959,5.02745,0.856282,0.00588313,4.85764e-05,0,0.00616723,-0.00113701,-0.00808652,
0.714244,4.58221,-0.0333416,5.02951,0.871184,0.00445099,-0.000116697,0,0.00139675,-0.000136315,-0.00802135,
0.875205,4.60742,-0.0291216,5.03544,1.0005,-0.0153444,0.00858153,0,-0.0215896,0.0148988,-0.00833565,
1.20088,4.65014,-0.0234284,5.04601,1.28672,-0.0368276,0.0326991,0,-0.0453852,0.0461285,-0.00961011,
1.6424,4.73271,-0.0187723,5.05406,1.69197,-0.0538829,0.059416,0,-0.0786608,0.0851447,-0.0127064,
2.00191,4.84008,-0.0243155,5.04906,2.03697,-0.0590968,0.0695342,0,-0.102221,0.105917,-0.0145012,
2.22731,4.94369,-0.043535,5.02984,2.27247,-0.0657619,0.0681508,0,-0.117949,0.116984,-0.0157668,
2.3118,5.03933,-0.0785763,4.99705,2.39075,-0.0659597,0.0611762,0,-0.123643,0.121181,-0.0160583,
2.26881,5.11708,-0.124833,4.95187,2.39934,-0.048971,0.051887,0,-0.117985,0.122855,-0.0165802,
2.20422,5.18742,-0.181257,4.89309,2.40356,-0.0357678,0.0416394,0,-0.123505,0.123638,-0.0166574,
2.11998,5.24649,-0.249888,4.82227,2.40753,-0.0325582,0.0304792,0,-0.129295,0.123765,-0.0168244,
